level,meaning_kr,kanji,reading,example,example_reading,example_meaning_kr
N4,파랗다,青い,あおい,空が青い。,そらがあおい。,하늘이 파랗다.
N4,빨갛다,赤い,あかい,りんごが赤い。,りんごがあかい。,사과가 빨갛다.
N4,밝다,明るい,あかるい,部屋が明るい。,へやがあかるい。,방이 밝다.
N4,가을,秋,あき,秋が好きです。,あきがすきです。,가을을 좋아합니다.
N4,열다,開ける,あける,ドアを開ける。,ドアをあける。,문을 열다.
N4,얕다,,あさい,海があさい。,うみがあさい。,바다가 얕다.
N4,맛,味,あじ,味がいい。,あじがいい。,맛이 좋다.
N4,머리,頭,あたま,頭が痛い。,あたまがいたい。,머리가 아프다.
N4,덥다,暑い,あつい,今日は暑い。,きょうはあつい。,오늘은 덥다.
N4,더위,暑さ,あつさ,暑さが続く。,あつさがつづく。,더위가 계속된다.
N4,모이다,集まる,あつまる,人が集まる。,ひとがあつまる。,사람이 모인다.
N4,모으다,集める,あつめる,お金を集める。,おかねをあつめる。,돈을 모으다.
N4,언니/누나,姉,あね,姉がいます。,あねがいます。,언니가 있다.
N4,사과하다,,あやまる,先生にあやまる。,せんせいにあやまる。,선생님께 사과하다.
N4,씻다,洗う,あらう,手を洗う。,てをあらう。,손을 씻다.
N4,걷다,歩く,あるく,公園を歩く。,こうえんをあるく。,공원을 걷다.
N4,아르바이트,アルバイト,アルバイト,アルバイトをする。,アルバイトをする。,아르바이트를 하다.
N4,설문조사,アンケート,アンケート,アンケートを書く。,アンケートをかく。,설문을 작성하다.
N4,안심,安心,あんしん,安心してください。,あんしんしてください。,안심하세요.
N4,안전하다,安全だ,あんぜんだ,ここは安全だ。,ここはあんぜんだ。,여기는 안전하다.

N4,안내,,あんない,駅で案内を受ける。,えきであんないをうける。,역에서 안내를 받는다.
N4,이하,,いか,この値段以下で買える。,このねだんいかでかえる。,이 가격 이하로 살 수 있다.
N4,이외,以外,いがい,日本以外の国に行きたい。,にほんいがいのくににいきたい。,일본 이외의 나라에 가고 싶다.
N4,아무리~해도,,いくら~ても,いくら勉強しても覚えられない。,いくらべんきょうしてもおぼえられない。,아무리 공부해도 외워지지 않는다.
N4,연못,池,いけ,池で魚を見る。,いけでさかなをみる。,연못에서 물고기를 본다.
N4,의견,意見,いけん,意見を言う。,いけんをいう。,의견을 말하다.
N4,돌,石,いし,石を投げる。,いしをなげる。,돌을 던진다.
N4,의사,医者,いしゃ,医者に相談する。,いしゃにそうだんする。,의사에게 상담하다.
N4,이상,以上,いじょう,これ以上できない。,これいじょうできない。,이 이상 못 한다.
N4,서두르다,急ぐ,いそぐ,駅まで急ぐ。,えきまでいそぐ。,역까지 서두르다.
N4,하다(겸양),いたす,いたす,私がいたします。,わたしがいたします。,제가 하겠습니다.
N4,받다,いただく,いただく,先生から本をいただく。,せんせいからほんをいただく。,선생님께 책을 받다.
N4,한 번,一度,いちど,一度行ったことがある。,いちどいったことがある。,한 번 간 적 있다.
N4,한 채,,いっけん,家が一軒ある。,いえがいっけんある。,집이 한 채 있다.
N4,열심히,,いっしょうけんめい,一生懸命勉強する。,いっしょうけんめいべんきょうする。,열심히 공부하다.
N4,다녀오겠습니다,,いってまいります,いってまいります。,いってまいります。,다녀오겠습니다.

N4,실,糸,いと,糸を使う。,いとをつかう。,실을 사용하다.
N4,시골,,いなか,いなかに住んでいる。,いなかにすんでいる。,시골에 살고 있다.
N4,여동생,妹,いもうと,妹がいる。,いもうとがいる。,여동생이 있다.
N4,색,色,いろ,好きな色を選ぶ。,すきないろをえらぶ。,좋아하는 색을 고르다.
N4,심다,,うえる,木を植える。,きをうえる。,나무를 심다.
N4,접수,,うけつけ,受付で名前を書く。,うけつけでなまえをかく。,접수에서 이름을 쓰다.
N4,(시험을) 치다,,うける,試験を受ける。,しけんをうける。,시험을 치다.
N4,움직이다,動く,うごく,ロボットが動く。,ロボットがうごく。,로봇이 움직인다.
N4,얇다,,うすい,紙が薄い。,かみがうすい。,종이가 얇다.
N4,노래,歌,うた,歌を聞く。,うたをきく。,노래를 듣다.
N4,노래를 부르다,歌う,うたう,歌を歌う。,うたをうたう。,노래를 부르다.
N4,치다,,うつ,ボールを打つ。,ボールをうつ。,공을 치다.
N4,베끼다,写す,うつす,ノートに写す。,ノートにうつす。,노트에 베끼다.
N4,찍히다,,うつる,写真に写る。,しゃしんにうつる。,사진에 찍히다.
N4,팔,,うで,腕が痛い。,うでがいたい。,팔이 아프다.
N4,솜씨가 뛰어나다,,うまい,料理がうまい。,りょうりがうまい。,요리를 잘한다.
N4,바다,,うみ,海へ行く。,うみへいく。,바다에 간다.
N4,낳다,,うむ,子どもを産む。,こどもをうむ。,아이를 낳다.
N4,팔다,売る,うる,野菜を売る。,やさいをうる。,야채를 팔다.
N4,시끄럽다,,うるさい,外がうるさい。,そとがうるさい。,밖이 시끄럽다.
N4,팔리다,売れる,うれる,この本はよく売れる。,このほんはよくうれる。,이 책은 잘 팔린다.
N4,운전,運転,うんてん,車を運転する。,くるまをうんてんする。,차를 운전하다.
N4,운동,運動,うんどう,毎日運動する。,まいにちうんどうする。,매일 운동한다.
N4,영업,営業,えいぎょう,店が営業している。,みせがえいぎょうしている。,가게가 영업 중이다.
N4,영어,英語,えいご,英語を勉強する。,えいごをべんきょうする。,영어를 공부하다.
N4,축하 선물,,おいわい,お祝いをもらう。,おいわいをもらう。,축하 선물을 받다.
N4,왕복,,おうふく,往復で切符を買う。,おうふくできっぷをかう。,왕복으로 표를 사다.
N4,많다,多い,おおい,人が多い。,ひとがおおい。,사람이 많다.
N4,많은 사람,,おおぜい,人が大勢いる。,ひとがおおぜいいる。,사람이 많이 있다.
N4,덕분에요,,おかげさまで,おかげさまで元気です。,おかげさまでげんきです。,덕분에 잘 지냅니다.
N4,일어나다,起きる,おきる,朝早く起きる。,あさはやくおきる。,아침 일찍 일어나다.
N4,옥상,,おくじょう,屋上に上がる。,おくじょうにあがる。,옥상에 올라가다.
N4,보내다,送る,おくる,メールを送る。,メールをおくる。,메일을 보내다.
